id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
83,2012_1Q,2012,2012.0,KENUGA,KEN,UGA,Fina Direct,Bank,Not available,Same day,12.0,yes,Major cities,bank account,,8.33,5.09,13.42,3.33,5.09,8.42
17605,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,KCB,Bank,Not available,Less than one hour,0.5,yes,Nationwide,,,0.0,6.35,6.35,0.0,6.35,6.35
17612,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,,,3.3499999999999996,3.17,6.52,1.3399999999999999,3.17,4.51
17606,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,6.779999999999999,1.59,8.37,4.93,1.59,6.52
17613,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,,,5.550000000000001,3.17,8.72,4.44,3.17,7.61
17610,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,Tanzania Postal Corporation,Post office,Not available,Next day,24.0,yes,Nationwide,,,7.4,4.76,12.16,5.92,4.76,10.68
17604,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,,,20.0,6.35,26.35,8.0,6.35,14.35
17607,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,NBC,Bank,Not available,2 days,48.0,yes,Nationwide,,,25.0,4.76,29.76,10.0,4.76,14.76
17608,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,Stanbic Bank,Bank,Not available,Next day,24.0,yes,Nationwide,,,27.5,3.17,30.67,11.0,3.17,14.17
17611,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,Twiga Bancorp,Bank,Not available,Next day,24.0,yes,Nationwide,,,30.0,1.59,31.59,12.0,1.59,13.59
17603,2012_1Q,2012,2012.0,TZAKEN,TZA,KEN,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,,,30.0,3.17,33.17,12.0,3.17,15.17
